Name,Name + ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Position
Jeremiah Webb,Jeremiah Webb (40058934),WR/FLEX,3000,PIT@NE 09/21/2025 01:00PM ET,NE,0,WR
John Metchie III,John Metchie III (40058898),WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,PHI,0.5,WR
Darius Cooper,Darius Cooper (40058900),WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,PHI,0,WR
Johnny Wilson,Johnny Wilson (40058902),WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,PHI,0,WR
Terrace Marshall,Terrace Marshall (40058904),WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,PHI,0,WR
Britain Covey,Britain Covey (40058906),WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,PHI,0,WR
Javon Baker,Javon Baker (40058908),WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,PHI,0,WR
Jordan Whittington,Jordan Whittington (40058910),WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,LAR,3.35,WR
Konata Mumpfield,Konata Mumpfield (40058912),WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,LAR,0,WR
Xavier Smith,Xavier Smith (40058914),WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,LAR,2.3,WR
Tru Edwards,Tru Edwards (40058916),WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,LAR,0,WR
Brennan Presley,Brennan Presley (40058918),WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,LAR,0,WR
Tyler Johnson,Tyler Johnson (40058736),WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,NYJ,2.55,WR
Ryan Miller,Ryan Miller (40058874),WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,TB,4.5,WR
Kameron Johnson,Kameron Johnson (40058876),WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,TB,0,WR
Jalen McMillan,Jalen McMillan (40058878),WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,TB,0,WR
Jaden Smith,Jaden Smith (40058880),WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,TB,0,WR
