Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
hideki matsuyama,-0.23,0.26,-2.15,0.48,-1.41,-1.64,2,0.5
hideki matsuyama,-0.81,-0.48,0.37,-0.82,-0.93,-1.74,3,0.6667
hideki matsuyama,-0.69,0.17,-0.61,0.57,0.13,-0.56,4,0.5
matt fitzpatrick,-0.97,0.14,-2.01,0.65,-1.23,-2.19,1,0.6
matt fitzpatrick,3.02,1.35,-3.56,1.55,-0.66,2.36,2,0.7778
matt fitzpatrick,3.65,-1.22,0.59,-1.76,-2.39,1.26,3,0.75
matt fitzpatrick,-3.17,0.5,-0.17,-0.73,-0.4,-3.56,4,0.2
matthew mccarty,-0.53,-0.6,-1.73,-0.34,-2.66,-3.19,1,0.5
matthew mccarty,-0.21,0.94,1.2,0.43,2.57,2.36,2,0.7143
matthew mccarty,2.29,-1.67,-0.48,0.12,-2.03,0.26,3,0.5
matthew mccarty,2.03,0.1,-2.98,-0.71,-3.59,-1.56,4,0.8
nicolas echavarria,0.11,-1.1,-0.14,0.94,-0.3,-0.19,1,0.1667
nicolas echavarria,-0.56,-1.04,-0.1,0.06,-1.08,-1.64,2,0.0
nicolas echavarria,1.39,-1.59,-0.97,1.43,-1.13,0.26,3,0.5
nicolas echavarria,1.42,-2.04,-1.52,0.59,-2.98,-1.56,4,0.5
taylor moore,1.37,0.63,-0.49,-0.71,-0.56,0.81,1,0.875
taylor moore,1.53,-0.93,-3.92,1.68,-3.17,-1.64,2,0.6667
taylor moore,-0.97,-1.31,0.05,1.49,0.23,-0.74,3,0.6
taylor moore,-0.13,-0.63,-1.35,0.55,-1.43,-1.56,4,0.6
andrew putnam,-0.77,0.82,0.36,-1.6,-0.42,-1.19,1,0.5556
