Player,SG Putting,SG Around Green,SG Approach,SG Tee To Green,SG Total,Rounds,Scrambling
rasmus hojgaard,2.44,-1.22,-0.89,-1.75,0.69,2,0.4286
rasmus hojgaard,1.24,-2.42,-0.44,-4.18,-2.95,3,0.4286
rasmus hojgaard,-1.84,1.15,-0.05,1.55,-0.3,4,0.7143
kevin roy,-0.71,0.78,1.38,0.47,-0.24,1,0.6
kevin roy,1.14,0.5,0.65,1.55,2.69,2,0.8333
kevin roy,-0.69,-1.31,-1.08,-1.25,-1.95,3,0.25
kevin roy,0.32,0.32,-0.26,-3.62,-3.3,4,0.5455
bud cauley,1.78,0.04,-0.03,0.98,2.76,1,0.6667
bud cauley,-1.39,-0.89,0.58,-0.92,-2.31,2,0.5
bud cauley,-1.55,0.18,-0.38,-1.39,-2.95,3,0.6
bud cauley,-0.51,-0.46,-2.64,-2.78,-3.3,4,0.6
wyndham clark,0.74,-1.44,1.64,1.02,1.76,1,0.6667
wyndham clark,-2.16,0.15,-1.54,-0.14,-2.31,2,0.4286
wyndham clark,0,0,0,0,0,3,0.0
wyndham clark,0,0,0,0,0,4,0.0
eric cole,-0.98,0.93,-0.92,0.74,-0.24,1,0.4286
eric cole,-1.12,1.23,-0.22,0.81,-0.31,2,0.5556
eric cole,0,0,0,0,0,3,0.0
eric cole,0,0,0,0,0,4,0.0
thorbjorn olesen,0.04,-1.4,0.8,-1.28,-1.24,1,0.5
thorbjorn olesen,-0.57,1.33,1.29,1.27,0.69,2,0.625
thorbjorn olesen,0,0,0,0,0,3,0.0
thorbjorn olesen,0,0,0,0,0,4,0.0
zecheng dou,-1.7,2.07,-1.2,0.46,-1.24,1,0.8
zecheng dou,1.64,-0.91,0.97,-0.95,0.69,2,0.6667
zecheng dou,0,0,0,0,0,3,0.0
zecheng dou,0,0,0,0,0,4,0.0
steven fisk,-0.38,-1.84,0.25,-1.86,-2.24,1,0.375
steven fisk,-1.17,1.14,0.29,2.87,1.69,2,0.5
steven fisk,0,0,0,0,0,3,0.0
steven fisk,0,0,0,0,0,4,0.0
kris ventura,-0.33,0.4,0.9,1.09,0.76,1,0.7143
kris ventura,-0.32,-0.53,0.36,-0.99,-1.31,2,0.8
kris ventura,0,0,0,0,0,3,0.0
kris ventura,0,0,0,0,0,4,0.0
adrien saddier,-0.2,-0.54,1.43,0.96,0.76,1,0.375
adrien saddier,-2.43,-1.83,1.78,1.13,-1.31,2,0.6
adrien saddier,0,0,0,0,0,3,0.0
adrien saddier,0,0,0,0,0,4,0.0
neal shipley,-0.2,0.48,1.07,-0.04,-0.24,1,0.4286
neal shipley,0.16,0.17,1.66,-0.46,-0.31,2,0.625
neal shipley,0,0,0,0,0,3,0.0
